"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "Less", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\store.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\bO\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\bO\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\clue\store.js", "JavaScript", 0, 405, 0, 0, 0, 0, 0, 0, 2, 50, 457
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\clue\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contacts\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contacts\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contract\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contract\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\customer\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\customer\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footleft\store.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footleft\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footright\store.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footright\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\store.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 3, 97
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\store.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 16, 12, 70
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\style.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\style.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
